symbol;nimi;sektor;hind;tootlus;kogus;kasum_aktsia_kohta;dividend_aktsia_kohta;aktsiate_arv
KSU;Kansas City Southern;Industrials ;78.59;1.72;2860875;4.4;1.32;107041000
L;Loews Corp.;Financials ;36.38;0.17;1565229;1.81;0.25;295387000
LB;L Brands Inc.;Consumer Discretionary ;82.31;1.48;3890199;3.98;2.40;245246000
LEG;Leggett & Platt;Industrials ;40.96;1.19;1062559;2.28;1.28;131865000
LEN;Lennar Corp.;Consumer Discretionary ;38.42;0.05;3600281;3.46;0.16;185239000
LH;Laboratory Corp. of America Holding;Health Care ;102.53;1.58;1299094;4.59;0.00;90170000
LLL;L-3 Communications Holdings;Industrials ;118.15;0.81;608611;-2.93;2.60;77861000
LLTC;Linear Technology Corp.;Information Technology ;40.91;0.1;2406132;2.04;1.28;241729000
LLY;Lilly (Eli) & Co.;Health Care ;73.23;0.61;5160106;2.26;2.04;934070000
LM;Legg Mason;Financials ;25.93;2.04;2601615;0.91;0.80;95581000
LMT;Lockheed Martin Corp.;Industrials ;215.98;0.68;1983070;11.46;6.60;259052000
LNC;Lincoln National;Financials ;33.8;1.2;4549228;4.51;1.00;244980000
LOW;Lowes Cos.;Consumer Discretionary ;64.15;0.94;6025594;3.15;1.12;913667000
LRCX;Lam Research;Information Technology ;65.58;0.76;2953385;4.83;1.20;158239000
LUK;Leucadia National Corp.;Financials ;14.96;3.17;2459786;0.56;0.25;322712000
LUV;Southwest Airlines;Industrials ;35.25;1.53;7609817;3.27;0.30;637074000
LVLT;Level 3 Communications;Telecommunications Services ;44.32;3.7;4307261;9.58;N/A;289184000
LYB;LyondellBasell;Materials ;75.72;0;3909354;9.59;3.12;357275000
M;Macys Inc.;Consumer Discretionary ;39.51;0.35;4117630;3.86;1.44;313279000
MA;Mastercard Inc.;Information Technology ;81.97;1.64;7802683;3.35;0.76;1094137000
MAC;Macerich;Financials ;74.92;0.31;723571;3.08;2.72;153382000
MAR;Marriott Intl.;Consumer Discretionary ;60.77;2.24;5311054;3.06;1.00;211169000
MAS;Masco Corp.;Industrials ;25.39;8.23;11542338;1.08;0.38;328159000
MAT;Mattel Inc.;Consumer Discretionary ;31.17;2.47;7139039;1.08;1.52;338726000
MCD;McDonalds Corp.;Consumer Discretionary ;117.01;0.83;7525722;4.8;3.56;917789000
MCHP;Microchip Technology;Information Technology ;41.26;0.1;2683282;1.63;1.44;197898000
MCK;McKesson Corp.;Health Care ;150.38;0.71;1987005;8.36;1.12;227844000
MCO;Moodys Corp;Financials ;80.03;0.82;1702614;4.63;1.48;170473000
MDLZ;Mondelez International;Consumer Staples ;37.05;1.95;11313693;4.44;0.68;1533117000
MDT;Medtronic plc;Health Care ;73.08;0.62;6525280;1.75;1.52;1404833000
MET;MetLife Inc.;Financials ;37.16;0.03;8883933;4.57;1.50;925119000
MHFI;McGraw Hill Financial;Financials ;83.59;0.26;2405342;4.21;1.44;257076000
MHK;Mohawk Industries;Consumer Discretionary ;153.7;1.26;1140840;49.9;N/A;61470000
MJN;Mead Johnson;Consumer Staples ;67.92;0.44;2437256;3.27;1.65;185930000
MKC;McCormick & Co.;Consumer Staples ;88.24;0.42;1277243;3.11;1.72;122983000
MLM;Martin Marietta Materials;Materials ;128.88;9.36;3226989;3.97;1.60;65716000
MMC;Marsh & McLennan;Financials ;55.28;0.51;3180263;2.98;1.24;520820000
MMM;3M Company;Industrials ;153.63;0.55;2968410;7.58;4.44;608026000
MNK;Mallinckrodt Plc;Health Care ;63.01;3.27;3762327;3.78;N/A;103301000
MNST;Monster Beverage;Consumer Staples ;118.91;1.01;1719215;2.88;N/A;148901000
MO;Altria Group Inc;Consumer Staples ;60.45;0.55;7670814;2.67;2.26;1952639000
MON;Monsanto Co.;Materials ;91.7;0.49;2813119;3.85;2.16;438893000
MOS;The Mosaic Company;Materials ;23.86;1.19;6325973;3.3;1.10;317045000
MPC;Marathon Petroleum;Energy ;31.4;2.18;16889055;5.26;1.28;526300000
MRK;Merck & Co.;Health Care ;49.16;0.68;10649089;1.56;1.84;2792034000
MRO;Marathon Oil Corp.;Energy ;7.29;6.78;24990041;-0.72;0.20;676332000
MS;Morgan Stanley;Financials ;22.93;1.15;25642034;2.9;0.60;1479552000
MSFT;Microsoft Corp.;Information Technology ;49.28;0.26;46740474;1.41;1.44;7361899000
MSI;Motorola Solutions Inc.;Information Technology ;62.24;0.24;1223580;2.5;1.64;157927000
MTB;M&T Bank Corp.;Financials ;107.52;1.53;1411790;7.18;2.80;147855000
MU;Micron Technology;Information Technology ;9.98;1.87;30178641;1.84;0.00;1031812000
MUR;Murphy Oil;Energy ;17.86;7.12;5035003;-13.03;1.40;161655000
MYL;Mylan N.V.;Health Care ;50.74;0.57;5909894;1.79;0.00;390570000
NAVI;Navient;Financials ;8.5;4.92;10189497;2.61;0.64;346312000
NBL;Noble Energy Inc;Energy ;27.86;1.76;7705565;-0.07;0.04;412692000
NDAQ;NASDAQ OMX Group;Financials ;61.49;2.13;1425924;2.5;1.00;113697000
NEE;NextEra Energy;Utilities ;115.35;1.03;3443868;6.06;3.08;460706000
NEM;Newmont Mining Corp. (Hldg. Co.);Materials ;24.3;3.53;24512806;0.96;0.10;528001000
NFLX;Netflix Inc.;Information Technology ;86.13;3.37;25892874;0.28;N/A;419814000
NFX;Newfield Exploration Co;Energy ;23.8;6.56;4402914;-15.39;N/A;160281000
NI;NiSource Inc.;Utilities ;21.24;1.58;2964705;1.19;0.62;315159000
NKE;Nike;Consumer Discretionary ;55.68;1.16;10915657;2.06;0.64;1346883000
NLSN;Nielsen Holdings;Industrials ;45.13;0.92;3893154;1.28;1.12;362193000
NOC;Northrop Grumman Corp.;Industrials ;187.32;0.92;1288004;10.39;3.20;165961000
NOV;National Oilwell Varco Inc.;Energy ;27.56;2.96;8103190;-1.99;1.84;375148000
NRG;NRG Energy;Utilities ;10.84;2.69;5342924;-0.04;0.58;312175000
NSC;Norfolk Southern Corp.;Industrials ;71.42;1.32;4332032;5.1;2.36;296711000
NTAP;NetApp;Information Technology ;22.04;1.39;3523308;1.29;0.72;292078000
NTRS;Northern Trust Corp.;Financials ;57.99;0.47;2300557;3.99;1.44;228218000
NUE;Nucor Corp.;Materials ;38.91;1.22;2720252;1.11;1.50;319510000
NVDA;Nvidia Corporation;Information Technology ;25.49;1.07;10638321;1.07;0.46;511535000
NWL;Newell Rubbermaid Co.;Consumer Discretionary ;34.27;0.03;8404570;1.29;0.76;266579000
NWS;News Corp. Class B;Consumer Discretionary ;11.09;1.51;1922721;-0.21;0.20;497414000
NWSA;News Corp. Class A;Consumer Discretionary ;10.49;0.66;5450060;-0.21;0.20;497414000
O;Realty Income Corporation;Financials ;56.36;0.34;2910862;1.1;2.38;248716000
OI;Owens-Illinois Inc;Materials ;13.54;9.99;5672507;-0.44;N/A;148586000
OKE;ONEOK;Energy ;20.63;10.92;9079495;1.49;2.46;207216000
OMC;Omnicom Group;Consumer Discretionary ;71.62;2.73;4780394;4.36;2.00;240867000
ORCL;Oracle Corp.;Information Technology ;35.08;1.49;17819755;2.07;0.60;3082561000
ORLY;OReilly Automotive;Consumer Discretionary ;236.29;1.18;1574530;8.73;N/A;95852000
OXY;Occidental Petroleum;Energy ;65.22;1.47;4970495;-10.23;3.00;760406000
PAYX;Paychex Inc.;Information Technology ;46.66;0.32;3261967;2.01;1.68;322357000
PBCT;Peoples United Financial;Financials ;14.54;1.25;8882092;0.86;0.67;299922000
PBI;Pitney-Bowes;Industrials ;16.66;0.95;2592489;2.03;0.75;195296000
PCAR;PACCAR Inc.;Industrials ;49.84;0.1;2711602;4.51;0.96;343718000
PCG;PG&E Corp.;Utilities ;55.92;0.67;5979971;1.81;1.82;489600000
PCL;Plum Creek Timber Co.;Financials ;36.88;1.78;1085075;1.12;1.76;173271000
PCLN;Priceline.com Inc;Consumer Discretionary ;991.29;1.8;1043821;47.87;N/A;49578000
PDCO;Patterson Companies;Health Care ;41.28;0.98;977266;1.85;0.88;81833000
PEG;Public Serv. Enterprise Inc.;Utilities ;42.38;0.93;3759964;3.64;1.56;505152000
PEP;PepsiCo Inc.;Consumer Staples ;98.28;0.78;4994217;3.37;2.81;1453208000
PFE;Pfizer Inc.;Health Care ;29.1;1.89;57129774;1.24;1.20;6169236000
PFG;Principal Financial Group;Financials ;35.98;0.56;3126035;4.1;1.52;290666000
PG;Procter & Gamble;Consumer Staples ;82.64;0.02;14308930;2.95;2.65;2702185000
PGR;Progressive Corp.;Financials ;30.88;0.49;7501245;2.15;0.89;579940000
PH;Parker-Hannifin;Industrials ;99.73;1.35;1601595;6.05;2.52;132631000
PHM;Pulte Homes Inc.;Consumer Discretionary ;16;1.33;6325409;1.36;0.36;313131000
PKI;PerkinElmer;Health Care ;42.47;2.46;1377328;1.88;0.28;111479000
PLD;Prologis;Financials ;37.4;0.66;4151034;1.64;1.60;520564000
PM;Philip Morris International;Consumer Staples ;90.02;0.33;5114178;4.42;4.08;1546183000
PNC;PNC Financial Services;Financials ;82.2;0.53;4125790;7.38;2.04;503012000
PNR;Pentair Ltd.;Industrials ;45.2;0.94;2823431;2.57;1.32;166101000
PNW;Pinnacle West Capital;Utilities ;68.48;0.01;1971223;3.6;2.50;110255000
POM;Pepco Holdings Inc.;Utilities ;26.2;0.87;3668536;0.92;1.08;252217000
PPG;PPG Industries;Materials ;90.99;1.49;1567212;5.14;1.44;268060000
PPL;PPL Corp.;Utilities ;36.13;0.39;5172236;1;1.52;673567000
PRGO;Perrigo;Health Care ;138.77;0.69;1213158;1.01;0.50;140278000
PRU;Prudential Financial;Financials ;63.59;0.41;4453724;7.44;2.80;448030000
PSA;Public Storage;Financials ;232.92;1.72;1061029;5.96;6.80;147954000
PSX;Phillips 66;Energy ;75.44;1.1;4348610;7.73;2.24;528666000
PVH;PVH Corp.;Consumer Discretionary ;71.09;1.1;1521102;5.87;0.15;77312000
PWR;Quanta Services Inc.;Industrials ;17.54;0.62;3629092;1.82;N/A;151546000
PX;Praxair Inc.;Materials ;103.82;1.85;1592801;5.35;3.00;284842000
PXD;Pioneer Natural Resources;Energy ;111.29;3.39;4309910;5.2;0.08;139569000
PYPL;PayPal;Information Technology ;32.7;2.71;16439154;1;N/A;1141318000
QCOM;QUALCOMM Inc.;Information Technology ;43.61;0.64;10339828;3.01;1.92;1492555000
QRVO;Qorvo;Information Technology ;35.14;3.51;1702628;0.01;N/A;138610000
R;Ryder System;Industrials ;55.65;0.57;1108345;5.7;1.64;53031000
RAI;Reynolds American Inc.;Consumer Staples ;47.69;1.3;4605570;2.65;1.44;825134000
RCL;Royal Caribbean Cruises Ltd;Consumer Discretionary ;68.02;2.61;4405925;3.02;1.50;177158000
REGN;Regeneron;Health Care ;365.97;6.29;2112333;5.06;N/A;76752000
RF;Regions Financial Corp.;Financials ;7.65;1.59;26029989;0.75;0.24;1293718000
RHI;Robert Half International;Industrials ;38.22;1.95;1619929;2.69;0.80;125699000
RHT;Red Hat Inc.;Information Technology ;61.6;1.1;2104112;1.03;N/A;181554000
RIG;Transocean;Energy ;8.91;6.7;13569428;-1.55;0.00;342162000
RL;Polo Ralph Lauren Corp.;Consumer Discretionary ;83.7;1.8;2354792;5.52;2.00;57537000
ROK;Rockwell Automation Inc.;Industrials ;97.27;0.13;1033921;5.93;2.90;129367000
ROP;Roper Industries;Industrials ;161.83;0.02;596566;6.85;1.20;99103000
ROST;Ross Stores;Consumer Discretionary ;54.53;2.25;3878402;2.45;0.47;394863000
RRC;Range Resources Corp.;Energy ;28.04;8.55;5586833;-0.68;0.16;152297000
RSG;Republic Services Inc;Industrials ;43.84;0.97;2364170;1.77;1.20;237958000
RTN;Raytheon Co.;Industrials ;126.39;0.43;2130065;6.79;2.68;300272000
SBUX;Starbucks Corp.;Consumer Discretionary ;54.42;0.52;11605142;1.63;0.80;1438235000
SCG;SCANA Corp;Utilities ;65.28;1.24;1196805;5.27;2.18;142542000
SCHW;Charles Schwab Corporation;Financials ;23.28;1.14;17332418;1.03;0.24;1158395000
SE;Spectra Energy Corp.;Energy ;28.745;1.984;9486587;0.29;1.620;669765000
SEE;Sealed Air Corp.(New);Materials ;40.43;2.48;2744813;1.32;0.52;196037000
SHW;Sherwin-Williams;Materials ;252.43;2.35;817443;11.16;2.68;78153000
SIG;Signet Jewelers;Consumer Discretionary ;96.28;4.14;2489757;5.3;0.88;73585000
SJM;Smucker (J.M.);Consumer Staples ;126.68;1.32;956703;3.4;2.68;114478000
SLB;Schlumberger Ltd.;Energy ;67.8;2.84;11138191;1.63;2.00;1255124000
SLG;SL Green Realty;Financials ;81.19;3.21;1890585;2.7;2.88;99508000
SNA;Snap-On Inc.;Consumer Discretionary ;135.78;0.27;894966;8.1;2.44;57613000
SNDK;SanDisk Corporation;Information Technology ;66.54;1.93;2298290;1.82;1.20;200354000
SNI;Scripps Networks Interactive Inc.;Consumer Discretionary ;55;7.59;2705742;4.33;0.92;75049000
SO;Southern Co.;Utilities ;49.2;0.78;7085693;2.6;2.17;911544000
SPG;Simon Property Group Inc;Financials ;177.33;1.95;2102581;5.88;6.40;307226000
SPLS;Staples Inc.;Consumer Discretionary ;8.4;1.81;7750318;0.05;0.48;639040000
SRCL;Stericycle Inc;Industrials ;106.03;0.04;903292;2.96;N/A;84863000
SRE;Sempra Energy;Utilities ;95.9;0.84;1309043;5.09;2.80;235081000
STI;SunTrust Banks;Financials ;33.16;1.72;6186380;3.58;0.96;507452000
STJ;St Jude Medical;Health Care ;50.45;0.3;1993501;3.07;1.16;279420000
STT;State Street Corp.;Financials ;53.4;0.32;4211660;4.47;1.36;376739000
STX;Seagate Technology;Information Technology ;29.41;3.13;5722036;1.98;2.52;292918000
STZ;Constellation Brands;Consumer Staples ;136.09;0.84;2175689;5.05;1.24;N/A
SWK;Stanley Black & Decker;Consumer Discretionary ;90.63;0.23;1363306;5.79;2.20;144781000
SWKS;Skyworks Solutions;Information Technology ;57.7;2.7;4610779;4.91;1.04;190917000
SWN;Southwestern Energy;Energy ;8.37;10.39;17908132;-5.94;0.00;344129000
SYF;Synchrony Financial;Financials ;25.08;2.45;13511563;2.65;N/A;833591000
SYK;Stryker Corp.;Health Care ;96.64;0.6;1877215;3.78;1.52;310912000
SYMC;Symantec Corp.;Information Technology ;18.72;2.7;8129546;0.9;0.60;650944000
SYY;Sysco Corp.;Consumer Staples ;42.61;1.18;6732291;1.3;1.24;520496000
T;AT&T Inc;Telecommunications Services ;36.65;1.24;35252268;2.37;1.92;6140575000
TAP;Molson Coors Brewing Company;Consumer Staples ;83.87;0.04;3343821;2.26;1.64;153591000
TDC;Teradata Corp.;Information Technology ;22.6;2.25;3072492;-0.89;N/A;130949000
TE;TECO Energy;Utilities ;27.13;0.66;2783159;0.74;0.92;230561000
TEL;TE Connectivity Ltd.;Information Technology ;52.27;0.25;3999825;5.68;1.32;368579000
TGNA;Tegna;Consumer Discretionary ;21.37;2.46;1874398;4.29;0.56;204362000
TGT;Target Corp.;Consumer Discretionary ;69.86;0.2;5110628;-1.11;2.24;615478000
THC;Tenet Healthcare Corp.;Health Care ;24.21;0.25;1973934;0.18;0.00;80454000
TIF;Tiffany & Co.;Consumer Discretionary ;62.17;1.19;2389364;3.83;1.60;127341000
TJX;TJX Companies Inc.;Consumer Discretionary ;69.65;2.71;4565738;3.28;0.84;665203000
TMK;Torchmark Corp.;Financials ;51.11;0.25;869177;4.16;0.54;121218000
TMO;Thermo Fisher Scientific;Health Care ;124.45;2.06;2855139;4.92;0.60;397506000
TRIP;TripAdvisor;Consumer Discretionary ;54.09;3.2;2689088;1.59;N/A;112833000
TROW;T. Rowe Price Group;Financials ;66.49;0.79;2326340;4.63;2.08;238676000
TRV;The Travelers Companies Inc.;Financials ;105.92;0.3;1983590;10.88;2.44;294677000
TSCO;Tractor Supply Company;Consumer Discretionary ;81.45;2.04;1678426;3;0.80;133599000
TSN;Tyson Foods;Consumer Staples ;60.85;1.15;6420312;3.35;0.60;319299000
TSO;Tesoro Petroleum Co.;Energy ;73.62;0.92;2716424;12.36;2.00;119028000
TSS;Total System Services;Information Technology ;38.51;0.42;1714201;1.97;0.40;178870000
TWC;Time Warner Cable Inc.;Consumer Discretionary ;180.59;1.61;2265965;6.44;3.00;266522000
TWX;Time Warner Inc.;Consumer Discretionary ;63.21;6.08;12805231;4.39;1.40;798480000
TXN;Texas Instruments;Information Technology ;50.68;0.43;7321652;2.82;1.52;1008042000
TXT;Textron Inc.;Industrials ;32.03;1.39;2762191;2.5;0.08;275875000
TYC;Tyco International;Industrials ;34.65;0.23;3514896;1.09;0.82;422376000
UA;Under Armour;Consumer Discretionary ;72.35;0.29;5621962;1.05;N/A;179312000
UAL;United Continental Holdings;Industrials ;46.48;1.75;9300171;19.47;0.00;371904000
UHS;Universal Health Services, Inc.;Health Care ;105.52;1.01;690258;6.73;0.40;89717000
UNH;United Health Group Inc.;Health Care ;111.16;1.04;3680202;6.01;2.00;951421000
UNM;Unum Group;Financials ;26.17;0.27;2622147;3.5;0.74;240076000
UNP;Union Pacific;Industrials ;77.12;1.43;7406269;5.49;2.20;844306000
UPS;United Parcel Service;Industrials ;97.53;0.24;5427516;5.35;2.92;696117000
URBN;Urban Outfitters;Consumer Discretionary ;23.59;1.26;2391541;1.78;N/A;83856000
URI;United Rentals, Inc.;Industrials ;44.78;3.93;2745191;6.07;N/A;90327000
USB;U.S. Bancorp;Financials ;39.4;0.33;12758714;3.16;1.02;1742138000
UTX;United Technologies;Industrials ;87.24;0.53;7360909;8.62;2.56;788519000
V;Visa Inc.;Information Technology ;68.33;0.83;14882767;2.78;0.56;1917515000
VAR;Varian Medical Systems;Health Care ;74.87;1.15;1028743;4.08;0.00;96929000
VFC;V.F. Corp.;Consumer Discretionary ;56.66;0.6;2637504;2.4;1.48;423827000
VIAB;Viacom Inc.;Consumer Discretionary ;32.86;21.48;15731400;4.73;1.60;353893000
VLO;Valero Energy;Energy ;54.82;0;6624899;7.99;2.40;480131000
VMC;Vulcan Materials;Materials ;91.01;2.01;1856209;1.63;0.40;132789000
VNO;Vornado Realty Trust;Financials ;80.43;0.36;1495661;5.08;2.52;171457000
VRSK;Verisk Analytics;Industrials ;67.77;2.76;1455380;2.95;N/A;167727000
VRSN;Verisign Inc.;Information Technology ;72.62;1.18;1273281;2.54;0.00;110298000
VRTX;Vertex Pharmaceuticals Inc;Health Care ;80.14;2.27;4159543;-2.31;N/A;244893000
VTR;Ventas Inc;Financials ;50.08;6.76;5726948;1.24;2.92;331344000
VZ;Verizon Communications;Telecommunications Services ;50.15;1.16;22633921;4.37;2.26;4072103000
WAT;Waters Corporation;Health Care ;115.83;1.95;596264;5.65;0.00;78036000
WBA;Walgreens Boots Alliance;Consumer Staples ;74.93;2.77;7227357;4.11;1.44;933558000
WDC;Western Digital;Information Technology ;40.18;4.13;6549346;4.85;2.00;225309000
WEC;Wisconsin Energy Corporation;Utilities ;56.895;0.122;3001863;2.34;1.980;315055000
WFC;Wells Fargo;Financials ;46.45;0.11;29896186;4.15;1.50;4589611000
WFM;Whole Foods Market;Consumer Staples ;29.06;1.09;6999894;1.48;0.54;338022000
WHR;Whirlpool Corp.;Consumer Discretionary ;137.04;1.33;1185772;9.83;3.60;76474000
WLTW;Willis Towers Watson;Financials ;110.65;0.46;1725244;6.92;3.28;67900000
WM;Waste Management Inc.;Industrials ;53.28;1.1;2733927;2.33;1.54;444767000
WMB;Williams Cos.;Energy ;11.98;7.35;27066227;0.44;2.56;664718000
WMT;Wal-Mart Stores;Consumer Staples ;65.81;1.63;14642361;4.67;1.96;1576003000
WRK;Westrock Co;Materials ;32.315;1.553;3128848;-0.359;1.500;254570000
WU;Western Union Co;Information Technology ;17;2.35;7041767;1.62;0.62;504457000
WY;Weyerhaeuser Corp.;Financials ;23.08;1.37;6017205;0.89;1.24;503254000
WYN;Wyndham Worldwide;Consumer Discretionary ;63.21;2.56;3957098;4.57;1.68;114744000
WYNN;Wynn Resorts Ltd;Consumer Discretionary ;58.45;0.6;2733703;1.92;2.00;79037000
XEC;Cimarex Energy;Energy ;81.79;4.05;1271244;-18.72;0.64;92824000
XEL;Xcel Energy Inc;Utilities ;39.62;0.94;4267762;1.94;1.28;506431000
XL;XL Capital;Financials ;34.76;0.12;2015379;4.15;0.80;294714000
XLNX;Xilinx Inc;Information Technology ;47.22;0.34;3177229;2.01;1.24;254645000
XOM;Exxon Mobil Corp.;Energy ;80.08;0.44;18418666;3.85;2.92;4144113000
XRAY;Dentsply International;Health Care ;56.99;0.37;1473255;1.94;0.29;128486000
XRX;Xerox Corp.;Information Technology ;8.76;3.2;9444896;0.43;0.31;855593000
XYL;Xylem Inc.;Industrials ;36.71;1.35;2051037;1.87;0.62;177602000
YHOO;Yahoo Inc.;Information Technology ;26.82;0.85;14324824;-4.64;N/A;868922000
